crystal	atoms	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163
(+)-aspidospermidine	C19H26N2	-16.981401	-16.848295	-17.021622	-16.978409	-16.962095	7.096907	-5.8041706	-11.028311	-6.844007	-16.93919	-8.485463	-4.7618537	-9.214697	-7.6882105	-9.430517	-5.593708	-6.3747973	-5.1925635	-6.0833135	-4.287154	-6.861994	-7.4221554	-9.330271	-5.8137116	-7.5048413	-8.724668	-4.7988667	-16.95956	-11.542749	-5.750528	-5.7500234	-4.7923527	-8.367454	-6.0316095	-7.6451693	-6.767193	-6.527911	-7.6140814	-2.9129922	-16.749805	-5.2616796	-9.940249	-5.2715883	-9.403818	-9.335128	-5.920105	-5.698328	-5.720028	-6.4542212	-16.972393	-16.983519	-16.999868	5.2152987	9.621203	3.7052612	1.5322171	10.000347	6.9956303	0.23792405	-17.01746	-17.040766	1.7903104	2.4989297	1.9471189	-16.898117	0.73240906	-2.7072024	-16.985867	2.8289106	-2.354577	0.90645254	-16.926262	-17.033442	0.14964813	-1.507922	0.8891725	-1.7863942	-1.7686768	1.3701699	-2.895426	-1.6173358	-2.7669811	-5.159045	0.46551743	1.6356556	-1.8763613	-1.6892476	-1.5547704	-2.3648114	2.8354664	-0.5923073	-0.1987582	-4.9205875	-16.989485	-3.3779354	0.6834639	0.45780224	-0.68544525	-0.4699672	-0.8771673	0.7775143	-1.1442199	0.048338417	-2.353788	-4.2550807	-0.3296066	0.3596115	1.1340967	-7.4684987	-2.1151311	-7.080061	0.23480062	0.10339746	-3.9374316	-6.9189982	-16.993584	-1.1428932	-5.644686	-3.4633913	-0.6387322	-2.1648529	-0.7791108	-1.3938123	-5.842521	-1.6263958	-3.7351742	-5.393492	-4.6800504	-2.488997	-2.5539517	-10.466248	-8.512266	-0.76521957	-5.448501	-2.8211615	-6.8601437	-5.298056	-5.144427	-3.8723545	-2.596418	-6.0697002	-0.98567766	-4.828706	-6.0190606	-6.8507085	-8.334605	-2.9550147	-7.1402364	-6.3998675	-14.940247	-8.589616	-11.217668	-8.237445	-10.589863	-8.4981575	-10.740748	-10.587303	-10.6563015	-15.402572	-15.944436	-17.19834	-16.627016	-17.130022	-16.8501
(-)-adrenaline	C9H13NO3	-18.417313	-18.03368	-18.445927	-18.368427	-18.390724	3.812551	-6.3440304	-10.784909	-7.5443068	-18.373056	-8.608608	-4.235491	-11.4715395	-8.191263	-9.945988	-6.8178816	-7.309088	-5.7871656	-6.7176404	-2.688375	-7.084507	-6.420301	-8.894925	-6.777155	-8.276452	-9.954912	-5.3595796	-18.384392	-10.073866	-5.8315306	-4.538314	-3.8744855	-7.543773	-5.8643847	-6.973478	-7.590006	-7.3320327	-8.1887665	-2.9500263	-18.08503	-4.543093	-10.660023	-6.420225	-8.28709	-11.767773	-3.7945762	-7.481716	-4.9298124	-5.6927824	-18.39022	-18.358725	-18.374022	8.0186205	9.359377	2.7419324	3.3796768	9.647358	6.3710985	3.0728583	-18.412304	-18.431469	0.79914695	3.454123	2.0279043	-18.32127	0.85063016	-0.8195929	-18.404184	0.70433265	-1.70541	-0.20007323	-18.34285	-18.429005	-0.6357721	-0.23239937	-0.5659475	-0.6414946	0.008817697	1.9168772	-3.4782987	0.48068866	-1.7756934	-3.599243	-2.4994433	1.8091353	-1.6937332	0.003754397	-4.614568	-1.9520888	0.38844064	0.6435667	-1.0100886	-4.3579226	-18.401114	-5.820482	-0.9580764	0.69863915	-2.6657043	-2.2680666	-1.8561149	0.7416415	-1.7310725	-1.121556	-2.9654071	-5.7011757	-0.5781041	0.9674965	0.7190386	-8.142123	-3.2264566	-8.5210705	0.877657	-0.40617034	-3.4808488	-6.7641644	-18.397865	0.29073364	-5.2601566	-3.5297828	1.6191669	-2.7958572	-2.5363765	-2.7633963	-6.824258	-2.211721	-5.0310664	-5.488127	-5.5316615	-4.291884	-1.2888374	-10.4530325	-7.5794225	-0.5469158	-5.5017433	-3.583218	-8.195861	-4.5676703	-5.2410865	-5.7303753	-4.112604	-6.2606754	-3.6511085	-5.665981	-8.214193	-9.6550865	-9.605643	-4.5673637	-9.198978	-8.690376	-16.577984	-9.72705	-12.447548	-10.095029	-13.162227	-10.951241	-9.723627	-12.911817	-14.073175	-16.75498	-16.73728	-18.801771	-18.133617	-18.479656	-18.30748
(-)-deoxypodophyllotoxin	C22H22O7	-17.632042	-16.738024	-17.664902	-17.601059	-17.594437	4.3155093	-6.447542	-10.566187	-8.241059	-17.576967	-8.440223	-5.650536	-9.911434	-7.738998	-10.244332	-5.8176293	-6.2746706	-6.6503253	-6.9324465	-3.987093	-8.112984	-7.149294	-10.085418	-6.25524	-8.094696	-9.3741665	-5.909116	-17.614779	-11.270147	-6.4947777	-5.224108	-3.9904327	-8.155332	-6.348611	-8.1598625	-7.089357	-6.902291	-8.385492	-3.9292464	-17.349472	-5.329051	-9.447618	-5.4211955	-9.894587	-10.339261	-5.8075976	-6.2899656	-6.8418536	-4.827646	-17.599808	-17.606712	-17.624435	7.505048	8.703353	1.9197005	1.3298341	8.819448	3.1543033	0.776189	-17.647635	-17.666658	-0.8870008	1.4081503	0.3634103	-17.551228	0.22418514	-2.2593315	-17.637905	2.300584	-2.5003679	1.2254987	-17.576054	-17.670134	-1.5075264	-0.6408261	-1.6907557	-1.4328574	-0.87026536	-0.01822302	-3.1132169	-1.6497265	-0.77803856	-2.664732	-1.0396314	2.1090627	-1.8185772	-1.1524303	-2.1532738	-0.9353902	2.2569616	-1.1490047	-0.66953737	-3.6718576	-17.623558	-1.5994139	-1.6977245	0.47004345	-1.3697983	0.08789404	-1.758079	1.1359687	-0.7888014	0.72646546	-2.77707	-4.3476896	0.49455887	1.3878032	0.7238254	-6.302063	-1.8994894	-6.1289144	-1.194386	-0.23255114	-2.1575353	-6.955414	-17.629028	-2.5809119	-4.385172	-1.9645729	0.91374105	-2.1569395	-2.089502	-1.2568606	-4.2894516	-1.91647	-4.438414	-3.2023895	-4.2617636	-3.3826885	-1.6369977	-11.002495	-6.9672284	-0.9456654	-3.791288	-2.6239243	-6.5063214	-3.6686578	-4.6441283	-4.2481427	-1.991928	-5.187431	-2.2262144	-4.896645	-6.5783777	-6.883797	-9.607661	-4.024268	-8.677105	-6.785059	-16.051838	-8.705728	-12.371678	-7.699493	-10.587469	-9.5831375	-10.090879	-11.909484	-12.537977	-16.294533	-16.21696	-18.023735	-17.425188	-17.723688	-17.552101
(-)-epicatechin	C15H14O6	-18.111425	-16.734394	-18.118	-18.050484	-18.064161	4.989844	-6.828823	-9.859308	-7.9116454	-18.057638	-7.4829645	-6.319074	-10.75292	-7.8276386	-10.389743	-6.5347233	-6.9253907	-6.6383977	-6.94072	-3.7596948	-8.287486	-5.504599	-9.790271	-6.7156672	-8.994097	-10.369281	-5.8727746	-18.080297	-10.559229	-6.8043685	-5.29897	-5.451747	-7.3998876	-6.6385436	-7.2719164	-9.278938	-7.569957	-9.421597	-5.2705703	-17.746319	-4.174034	-8.595708	-6.2614245	-9.447002	-11.084426	-4.6139574	-7.2890077	-6.108509	-6.0099306	-18.060875	-18.077446	-18.09169	8.063129	9.021051	0.80617064	-0.57882494	9.161439	3.7921128	1.2431551	-18.060303	-18.129515	-1.455401	-0.22856742	-0.25737467	-18.018494	0.4665124	-1.6027266	-18.12424	0.3433444	-1.2779051	-0.2506417	-18.073204	-18.117453	-1.4227322	-0.32339326	-2.2339768	-1.7993155	0.41875705	1.5966343	-4.1035514	1.3138133	-0.9204405	-1.9861275	-1.6926113	-0.21485275	-2.1462548	-0.28404465	-2.3627055	0.218582	0.050660256	-1.3086869	-1.8435102	-3.0947757	-18.074478	-2.4311786	-3.6418803	0.11553022	-1.6521007	0.42940184	-3.3928204	0.6574664	0.17269824	0.49669257	-2.055361	-5.7928715	-1.6703278	1.0646119	-0.17739631	-4.7268887	-1.354743	-6.212248	0.1996108	-1.6858062	-1.4890474	-4.384894	-18.094517	-0.7852514	-2.26942	-1.0920383	1.007302	-1.2773516	-1.9933835	-3.4866192	-4.360191	-1.4336982	-2.9935865	-3.811979	-5.604071	-3.8422797	-0.91698784	-10.850395	-5.7147026	0.5765717	-2.683329	-1.0379518	-5.9152746	-3.2290912	-2.7748585	-4.2792664	-1.2769846	-3.4485772	-2.3018384	-4.7246623	-6.3571057	-6.7459397	-10.328514	-5.0833406	-9.727629	-6.857376	-16.918388	-10.236687	-11.844821	-7.639775	-12.197087	-10.981571	-9.880508	-13.342539	-14.13403	-16.270256	-16.27288	-18.511421	-17.90597	-18.131783	-18.077478
(-)-lobeline	C22H27NO2	-17.001116	-16.573818	-17.035038	-16.968534	-16.969707	5.818311	-5.9666142	-10.644405	-7.465725	-16.944735	-8.553059	-4.963814	-9.232386	-7.514271	-9.652563	-5.4150987	-6.215181	-5.7906523	-6.2838902	-3.942179	-7.4168534	-7.4158998	-9.6401005	-5.6986675	-7.6045027	-8.75567	-5.109865	-16.972162	-11.49957	-5.949349	-5.4158416	-4.086748	-8.215068	-5.8711457	-7.8975415	-6.6136103	-6.248839	-7.8525877	-3.120869	-16.76627	-5.073126	-9.648722	-5.022603	-9.457644	-9.470936	-5.858288	-5.7943964	-6.247775	-5.29698	-16.97253	-16.98086	-17.009577	6.269632	9.330744	3.1524155	1.5271095	9.5787735	5.371565	0.4054364	-17.03055	-17.052755	0.761752	1.8393291	1.1529571	-16.913807	0.46083924	-2.6188836	-17.011612	2.7305431	-2.5426972	1.247813	-16.934654	-17.04052	-0.53557765	-1.36701	-0.008348155	-1.5647438	-1.3894249	0.76467943	-2.8416505	-2.078005	-1.9497361	-4.1375856	-0.12477675	2.032219	-1.8211497	-1.7162635	-1.6704079	-1.8530654	2.7496543	-0.7005253	-0.452367	-4.3577933	-16.996078	-2.5638947	-0.29730186	0.4167437	-1.0252762	-0.14791663	-1.2149934	0.986906	-1.1541452	0.38104257	-2.4487	-4.0185723	0.37258855	0.80295974	0.94250196	-7.0195985	-1.9469278	-6.6673374	-0.34112749	0.05144197	-3.355856	-6.9849305	-17.01082	-2.0903888	-5.31566	-2.7552643	-0.1476209	-2.3100402	-1.5578886	-1.3849373	-5.3716927	-1.9054321	-4.079973	-4.32835	-4.29425	-2.5865831	-2.379057	-10.632585	-8.049738	-1.2201571	-4.99208	-2.8355563	-6.9511137	-4.7827306	-5.112785	-3.977721	-2.4200442	-5.725899	-1.2956468	-4.8962417	-6.0851946	-6.8862195	-8.909024	-3.262464	-7.691679	-6.4027486	-15.156841	-8.5233345	-11.623654	-7.918841	-10.376893	-8.778394	-10.53249	-10.991808	-11.149289	-15.675636	-15.891017	-17.308617	-16.732718	-17.140623	-16.903261
(-)-noradrenaline	C8H11NO3	-18.143618	-17.221077	-18.143715	-18.077997	-18.124947	4.0913763	-6.4424577	-10.077383	-7.519771	-18.095776	-8.173818	-5.5346947	-10.987929	-8.927513	-10.43852	-6.308846	-6.7571063	-6.1890244	-5.887708	-2.4990363	-7.2707577	-6.4861975	-8.436036	-7.4688215	-8.592443	-9.503152	-4.811893	-18.08637	-10.710481	-6.013895	-5.301226	-5.495338	-7.8261538	-6.2682276	-6.3052735	-7.5322948	-7.8666854	-9.420235	-3.317551	-17.803082	-3.4037607	-9.361661	-5.8459435	-8.440728	-10.810931	-4.9586406	-6.885852	-5.227215	-6.2625346	-18.096207	-18.079182	-18.1192	8.192177	9.24597	1.5008224	1.0160214	9.561051	6.8294787	3.180797	-18.120783	-18.152803	2.0203664	1.7133727	1.3688397	-18.037037	1.486254	-3.2202406	-18.112167	1.7507412	-1.1945751	-0.21124187	-18.066025	-18.149176	-0.597854	-0.97664016	-1.402923	-2.0842433	-0.33779204	2.4483848	-4.489753	0.94262856	-2.5161562	-3.5346804	0.054175757	0.37827426	-2.4117043	-0.33439755	-2.4076536	-2.1151528	1.456809	-0.5176556	-2.1878679	-4.3129406	-18.098415	-3.8914192	-1.8590716	2.2677405	-1.4135792	0.07269231	-2.2691834	-0.44921914	-0.8854343	-0.565633	-2.0564008	-6.952503	-2.8280804	-0.6441773	0.73677653	-5.338028	-3.9976966	-7.627836	-0.7042966	-2.582225	-2.8353891	-6.02783	-18.130915	-1.0295371	-3.8457563	-4.1892586	-0.024190376	-2.1133385	-1.4756553	-3.9251728	-6.78745	-2.387782	-4.895071	-6.0376	-6.7309303	-4.27425	-0.8243721	-10.21968	-5.4678307	0.17386809	-4.312525	-2.303501	-6.9288106	-3.8382978	-3.5821214	-4.7408524	-3.336961	-5.821441	-1.9921372	-6.1968355	-6.9590015	-7.811344	-8.758371	-4.8259034	-8.404745	-8.115338	-16.559591	-10.27951	-12.300488	-9.294832	-12.088437	-11.190985	-9.042156	-12.850428	-13.592185	-16.284784	-16.188358	-18.548553	-17.89558	-18.221704	-18.034569
(1-pentyl-1h-indol-3-yl)(2,2,3,3-tetramethylcyclopropyl)methanone	C21H29NO	-16.949663	-16.523277	-16.985054	-16.918568	-16.920328	5.9118767	-5.8640447	-10.834032	-7.3504944	-16.893574	-8.621265	-4.9404483	-8.905057	-7.5777955	-9.601986	-5.5087805	-6.317496	-5.679671	-6.37973	-4.222317	-7.4309797	-7.6553373	-9.884748	-5.6575294	-7.6781993	-8.745091	-5.1131783	-16.92121	-11.524531	-5.849926	-5.5756516	-4.1535892	-8.162028	-5.9796777	-7.9532247	-6.7046185	-6.357734	-7.8704057	-3.0420158	-16.721802	-5.0302095	-9.713029	-5.0906315	-9.582917	-9.368002	-6.004079	-5.591845	-6.3319197	-5.506232	-16.91736	-16.92899	-16.963415	5.653296	9.258841	3.1981754	1.4269997	9.66841	5.3539915	0.1604141	-16.985363	-17.004192	1.0034393	1.9958462	1.232855	-16.857615	0.6347254	-2.7741413	-16.958874	2.890139	-2.4964137	1.426899	-16.883724	-16.992786	-0.47613338	-1.2871279	0.295851	-1.5697571	-1.5637889	0.8599424	-2.8194103	-2.1296184	-2.1580284	-4.3748255	0.22297902	2.0728629	-1.6205521	-1.9795605	-1.2956272	-1.7812916	2.8592162	-0.723277	-0.13143362	-4.271473	-16.94253	-2.3736937	0.047849704	0.30249816	-0.95564985	-0.12458574	-1.1485158	0.7285007	-1.192571	0.3532251	-2.6262403	-3.9175189	0.38834122	0.9193518	0.99869627	-7.2116246	-1.8556288	-6.4702544	-0.27051204	0.0528534	-3.339644	-7.102641	-16.964975	-2.1041923	-5.530932	-2.8683245	-0.541899	-2.318646	-1.5873778	-1.305319	-5.333507	-1.9214811	-4.059011	-4.3302264	-4.305855	-2.302356	-2.7781146	-10.707464	-8.076795	-1.3378043	-5.105137	-2.8637002	-6.9456477	-4.801956	-5.196729	-4.1201525	-2.3831217	-5.7846055	-1.1002692	-4.7438507	-5.975093	-6.851127	-8.694479	-3.1896784	-7.4993067	-6.175278	-15.061141	-8.306975	-11.632319	-7.8690724	-10.356842	-8.432834	-10.688268	-10.787829	-10.720403	-15.673298	-15.891039	-17.205227	-16.671703	-17.087019	-16.832945
(2-nitrophenyl)methanol	C7H7NO3	-17.821402	-17.459604	-17.795828	-17.763792	-17.79706	3.68407	-5.9870753	-10.175369	-6.3519983	-17.752789	-7.731143	-4.802254	-10.6894	-8.072315	-9.339928	-6.8221965	-7.163895	-6.067466	-6.3870134	-2.0504391	-6.675718	-5.860386	-7.5749354	-7.1925316	-7.9513216	-9.9396305	-4.598032	-17.746675	-8.960913	-5.9072404	-3.375148	-4.6410537	-7.5448885	-6.0443254	-5.3775606	-8.1389885	-6.9913926	-8.72707	-3.0887601	-17.47373	-3.2849398	-9.840878	-5.1245027	-9.655375	-11.607914	-3.6334097	-7.6873207	-4.4875402	-4.960301	-17.775087	-17.763775	-17.767567	8.815263	9.773116	2.7142496	0.2480115	9.851831	7.573847	2.3970308	-17.771374	-17.840338	0.5253504	1.0003458	1.0291872	-17.695898	1.7006967	-1.1921697	-17.747778	1.8340629	-3.6621027	-1.1705698	-17.736168	-17.819378	-0.41384885	-1.3992004	-2.1199021	-3.8166764	1.6063285	2.5840902	-4.629802	0.8212259	-2.1248832	-2.606574	-0.40210256	1.4520745	-2.4903142	-2.3069181	-2.4207106	-1.1604515	-0.7418213	-0.8693294	-2.1052957	-3.7169766	-17.7777	-5.4360766	-0.5485685	0.5796067	-0.8208104	-1.630673	-2.2788649	-0.048146833	-1.2288035	-1.3532759	-0.8977511	-6.522129	-1.2795703	-0.64426774	0.6515316	-6.1183195	-3.3173804	-8.828195	-0.3032369	-0.0020784247	-2.7788322	-5.1225495	-17.820219	1.0071687	-4.8467093	-4.2593913	0.51497847	-3.0052166	-2.5047557	-4.3418455	-6.7601566	-3.008961	-4.4530735	-6.407102	-7.4794436	-4.038634	0.3537039	-9.816621	-7.4033055	-0.05220333	-4.6059375	-1.5635928	-8.645664	-3.4049566	-4.4092402	-4.80188	-2.8738203	-5.14212	-1.4859332	-6.693802	-6.239566	-9.331474	-11.500989	-4.0391126	-10.1707735	-7.4634724	-16.471048	-10.762199	-10.429773	-8.995103	-12.813751	-12.301582	-10.952564	-12.989529	-14.170867	-15.629232	-15.985086	-18.290106	-17.589573	-17.889734	-17.684006
(e)-stilbene	C14H12	-17.464685	-17.610416	-17.49552	-17.4002	-17.426126	4.552156	-6.0201826	-10.453976	-7.3747277	-17.426142	-8.104049	-3.298193	-10.396841	-8.118511	-9.974006	-5.9369154	-6.5820317	-4.9318366	-6.426074	-3.7342126	-6.6759706	-5.988309	-9.3992815	-6.149185	-8.066906	-9.623697	-4.703076	-17.434027	-10.063635	-5.8291073	-4.303708	-2.8418353	-6.8821077	-5.197238	-6.6694756	-7.2102647	-6.842995	-7.4345593	-2.5891125	-17.122917	-4.3568907	-9.648635	-5.0693345	-8.122519	-10.900949	-3.2418728	-5.27544	-3.7504697	-5.7011886	-17.434763	-17.424353	-17.4178	5.7327213	10.032022	2.8563476	3.701878	10.090762	5.3008614	2.5032585	-17.46911	-17.481844	0.8202131	3.5937726	1.8685265	-17.365938	0.17477998	-2.165529	-17.46097	0.28721672	-2.0940785	-0.43057764	-17.380072	-17.489508	-0.9846682	0.18621913	-0.21029057	-0.7534585	-0.5629289	1.3510561	-3.4939196	0.53307885	-2.3897178	-4.745104	-1.8854985	1.8539	-2.1867783	-0.8376712	-3.6459246	-1.9431763	1.1720887	0.09484993	0.87468064	-4.580446	-17.431795	-5.2808113	-0.4013033	0.8497939	-1.8948298	-1.6055195	-1.7360334	0.6457233	-1.2382137	-0.11871705	-3.904007	-5.0756984	-0.21405788	1.8525144	0.8602362	-9.484247	-3.0836883	-8.629404	1.6093185	0.44565883	-3.077757	-7.70038	-17.465628	0.38838917	-5.2477174	-2.610233	1.8342123	-1.6435418	-0.8699442	-1.8674349	-5.7937117	-0.6180942	-4.299406	-4.7282043	-5.3531365	-3.9537146	-1.6631951	-9.4189415	-7.6300707	-0.46549812	-4.781179	-3.4125695	-7.061641	-3.7131133	-4.1395326	-5.2872157	-3.1849627	-5.499891	-2.348209	-4.9740696	-7.216598	-8.910831	-8.971372	-3.3758988	-7.5256324	-8.158196	-15.352396	-8.4642935	-12.682572	-9.379566	-11.5470705	-8.747393	-9.348481	-11.460985	-12.358718	-15.700293	-16.162004	-17.756186	-17.061508	-17.548054	-17.338745
(r)-flurbiprofen	C15H13FO2	-17.897074	-18.312004	-17.934673	-17.892616	-17.871922	5.8087835	-5.0810447	-10.069045	-7.63921	-17.81115	-9.302899	-3.666384	-9.642095	-7.480765	-9.994045	-5.5178766	-6.4813366	-6.058423	-7.017955	-3.6621368	-7.5134068	-6.541709	-9.136678	-6.331101	-7.783681	-9.025303	-6.1024294	-17.87864	-10.985917	-5.728693	-4.8868055	-5.049176	-6.8786526	-6.792788	-8.148482	-7.2398553	-7.379067	-8.999399	-3.237839	-17.558897	-4.572941	-9.365994	-6.4643693	-9.662611	-11.406251	-4.6950603	-6.189146	-5.755218	-6.774229	-17.866629	-17.845697	-17.87105	7.4271345	9.549362	3.0331156	4.8893943	9.493551	5.3236055	1.8965553	-17.925526	-17.888391	1.7257428	4.7114735	0.14534587	-17.809706	1.0053555	-3.0333958	-17.851221	1.2633531	-2.3118696	0.1866296	-17.842676	-17.95153	-1.4688141	-0.5410986	0.36568284	-0.025097646	-2.1858616	1.2391999	-4.915762	-0.4662648	-2.4154778	-4.5297375	-1.0487912	1.6442881	-1.2335716	-0.5028263	-2.5229082	-0.81364226	1.8964128	-0.05413522	0.5098581	-3.1821609	-17.898775	-4.2848797	-1.5601072	1.1128308	-2.455149	-1.145763	-1.1897023	1.0450517	0.5878703	-0.7589536	-4.3210607	-3.993105	-0.421802	1.722817	-0.107132204	-8.661838	-2.7386558	-7.02104	0.12453805	-0.6170288	-1.8692714	-7.6372046	-17.855278	-1.8598944	-4.6308923	-2.3592646	0.063104965	-3.4193704	-1.1383584	-2.0134413	-6.0244026	-0.050079726	-4.3535466	-5.882599	-5.7314053	-4.5501995	-3.1941004	-10.834735	-7.437986	-1.4743532	-5.2005086	-4.7957706	-7.868382	-4.203488	-4.077692	-5.883916	-2.8352225	-6.4527836	-1.4133633	-4.574243	-7.3709455	-8.305224	-8.248129	-4.900636	-7.9522963	-8.6061535	-15.806369	-8.785851	-12.765625	-9.770415	-12.215345	-8.104347	-10.133198	-12.022744	-12.227547	-16.094793	-16.886868	-18.30304	-17.577333	-17.99627	-17.820148
